,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
19,Shot Chart Detail,0021900040,352,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,0,38,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,240,41,1,0,20191027,LAL,CHA
20,Shot Chart Detail,0021900040,378,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,11,17,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,120,113,1,1,20191027,LAL,CHA
21,Shot Chart Detail,0021900040,614,202340,Avery Bradley,1610612747,Los Angeles Lakers,4,6,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-183,191,1,0,20191027,LAL,CHA
22,Shot Chart Detail,0021900054,46,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,9,4,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-77,180,1,0,20191029,LAL,MEM
23,Shot Chart Detail,0021900054,52,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,8,33,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20191029,LAL,MEM
24,Shot Chart Detail,0021900054,127,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,3,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,43,176,1,1,20191029,LAL,MEM
25,Shot Chart Detail,0021900054,314,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,3,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,47,195,1,0,20191029,LAL,MEM
26,Shot Chart Detail,0021900054,320,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,2,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-25,205,1,0,20191029,LAL,MEM
27,Shot Chart Detail,0021900054,324,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,2,12,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,9,37,1,1,20191029,LAL,MEM
28,Shot Chart Detail,0021900054,373,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,10,39,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-30,105,1,0,20191029,LAL,MEM
29,Shot Chart Detail,0021900054,421,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,6,54,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-165,198,1,1,20191029,LAL,MEM
30,Shot Chart Detail,0021900054,498,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,2,20,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,0,1,1,20191029,LAL,MEM
31,Shot Chart Detail,0021900074,11,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,11,6,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,228,36,1,0,20191101,DAL,LAL
32,Shot Chart Detail,0021900074,83,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,6,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,120,145,1,0,20191101,DAL,LAL
33,Shot Chart Detail,0021900074,113,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,5,18,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,19,1,1,20191101,DAL,LAL
34,Shot Chart Detail,0021900074,128,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,4,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,98,169,1,0,20191101,DAL,LAL
35,Shot Chart Detail,0021900074,155,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,2,36,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,138,57,1,0,20191101,DAL,LAL
36,Shot Chart Detail,0021900074,286,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,4,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-123,141,1,0,20191101,DAL,LAL
37,Shot Chart Detail,0021900074,333,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,1,35,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,6,1,1,20191101,DAL,LAL
38,Shot Chart Detail,0021900074,390,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,9,58,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,16,1,1,20191101,DAL,LAL
39,Shot Chart Detail,0021900074,403,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,8,34,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,3,20,1,1,20191101,DAL,LAL
40,Shot Chart Detail,0021900074,419,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,7,24,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20191101,DAL,LAL
41,Shot Chart Detail,0021900074,634,202340,Avery Bradley,1610612747,Los Angeles Lakers,4,2,38,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,227,39,1,0,20191101,DAL,LAL
42,Shot Chart Detail,0021900074,661,202340,Avery Bradley,1610612747,Los Angeles Lakers,4,0,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-117,133,1,0,20191101,DAL,LAL
43,Shot Chart Detail,0021900088,10,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,11,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-114,143,1,0,20191103,SAS,LAL
44,Shot Chart Detail,0021900088,45,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,8,43,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,0,1,1,20191103,SAS,LAL
45,Shot Chart Detail,0021900088,48,202340,Avery Bradley,1610612747,Los Angeles Lakers,1,8,7,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-140,75,1,1,20191103,SAS,LAL
46,Shot Chart Detail,0021900088,289,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,2,52,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,5,1,1,20191103,SAS,LAL
47,Shot Chart Detail,0021900088,323,202340,Avery Bradley,1610612747,Los Angeles Lakers,2,0,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,179,178,1,1,20191103,SAS,LAL
48,Shot Chart Detail,0021900088,341,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,11,39,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-171,2,1,1,20191103,SAS,LAL
49,Shot Chart Detail,0021900088,350,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,10,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-8,196,1,1,20191103,SAS,LAL
50,Shot Chart Detail,0021900088,462,202340,Avery Bradley,1610612747,Los Angeles Lakers,3,3,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,15,196,1,1,20191103,SAS,LAL
51,Shot Chart Detail,0021900088,573,202340,Avery Bradley,1610612747,Los Angeles Lakers,4,6,53,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,0,1,0,20191103,SAS,LAL
52,Shot Chart Detail,0021900002,183,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,2,11,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-164,214,1,0,20191022,LAC,LAL
53,Shot Chart Detail,0021900002,469,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,3,3,27,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-158,13,1,0,20191022,LAC,LAL
54,Shot Chart Detail,0021900002,544,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,9,17,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,215,153,1,0,20191022,LAC,LAL
55,Shot Chart Detail,0021900025,86,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,1,3,57,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-39,168,1,0,20191025,LAL,UTA
56,Shot Chart Detail,0021900025,123,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,1,1,54,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,131,75,1,0,20191025,LAL,UTA
57,Shot Chart Detail,0021900025,146,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,1,0,1,Missed Shot,Running Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,53,124,521,1,0,20191025,LAL,UTA
58,Shot Chart Detail,0021900025,155,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,2,11,26,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,101,127,1,0,20191025,LAL,UTA
59,Shot Chart Detail,0021900025,188,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,2,8,57,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,133,6,1,0,20191025,LAL,UTA
60,Shot Chart Detail,0021900025,449,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,3,3,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-147,211,1,0,20191025,LAL,UTA
61,Shot Chart Detail,0021900040,124,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,1,2,19,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,104,237,1,0,20191027,LAL,CHA
62,Shot Chart Detail,0021900040,140,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,1,1,22,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-41,116,1,0,20191027,LAL,CHA
63,Shot Chart Detail,0021900040,196,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,2,10,32,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,-1,1,1,20191027,LAL,CHA
64,Shot Chart Detail,0021900040,203,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,2,9,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-123,232,1,1,20191027,LAL,CHA
65,Shot Chart Detail,0021900040,234,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,2,7,52,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2,34,1,1,20191027,LAL,CHA
66,Shot Chart Detail,0021900040,494,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,3,2,31,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,26,1,0,20191027,LAL,CHA
67,Shot Chart Detail,0021900040,578,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,9,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-30,265,1,0,20191027,LAL,CHA
68,Shot Chart Detail,0021900040,610,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,7,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,119,223,1,1,20191027,LAL,CHA
69,Shot Chart Detail,0021900054,81,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,1,6,14,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-134,237,1,0,20191029,LAL,MEM
70,Shot Chart Detail,0021900054,163,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,1,1,29,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,35,127,1,0,20191029,LAL,MEM
71,Shot Chart Detail,0021900054,192,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,2,11,17,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,15,1,0,20191029,LAL,MEM
72,Shot Chart Detail,0021900054,237,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,2,7,31,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,129,122,1,0,20191029,LAL,MEM
73,Shot Chart Detail,0021900054,654,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,5,48,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-63,162,1,1,20191029,LAL,MEM
74,Shot Chart Detail,0021900054,659,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,5,23,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-117,9,1,0,20191029,LAL,MEM
75,Shot Chart Detail,0021900054,670,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,4,41,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,70,172,1,1,20191029,LAL,MEM
76,Shot Chart Detail,0021900054,681,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,4,17,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-59,182,1,1,20191029,LAL,MEM
77,Shot Chart Detail,0021900054,684,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,3,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,150,85,1,1,20191029,LAL,MEM
78,Shot Chart Detail,0021900054,687,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,3,7,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-8,203,1,1,20191029,LAL,MEM
79,Shot Chart Detail,0021900054,695,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,2,25,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,1,20191029,LAL,MEM
80,Shot Chart Detail,0021900074,215,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,2,9,43,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-40,69,1,0,20191101,DAL,LAL
81,Shot Chart Detail,0021900074,360,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,2,0,14,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,3,42,1,1,20191101,DAL,LAL
82,Shot Chart Detail,0021900074,539,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,3,0,52,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-82,-6,1,0,20191101,DAL,LAL
83,Shot Chart Detail,0021900074,518,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,11,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-114,237,1,0,20191101,DAL,LAL
84,Shot Chart Detail,0021900074,522,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,11,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,198,26,1,0,20191101,DAL,LAL
85,Shot Chart Detail,0021900088,126,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,1,3,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,8,258,1,1,20191103,SAS,LAL
86,Shot Chart Detail,0021900088,142,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,1,2,6,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,9,1,1,20191103,SAS,LAL
87,Shot Chart Detail,0021900088,178,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,2,11,7,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-81,134,1,0,20191103,SAS,LAL
88,Shot Chart Detail,0021900088,184,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,2,10,30,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-22,1,0,20191103,SAS,LAL
89,Shot Chart Detail,0021900088,526,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,10,21,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,136,-15,1,1,20191103,SAS,LAL
90,Shot Chart Detail,0021900088,624,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,3,50,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,231,76,1,0,20191103,SAS,LAL
91,Shot Chart Detail,0021900088,629,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,3,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,168,-10,1,1,20191103,SAS,LAL
92,Shot Chart Detail,0021900088,634,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,3,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-217,137,1,1,20191103,SAS,LAL
93,Shot Chart Detail,0021900088,658,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,4,1,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-207,160,1,0,20191103,SAS,LAL
94,Shot Chart Detail,0021900100,16,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,1,10,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-98,178,1,0,20191105,CHI,LAL
95,Shot Chart Detail,0021900100,80,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,1,5,0,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,5,1,0,20191105,CHI,LAL
96,Shot Chart Detail,0021900100,278,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,2,3,16,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,13,1,1,20191105,CHI,LAL
97,Shot Chart Detail,0021900100,318,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,2,1,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,97,235,1,0,20191105,CHI,LAL
98,Shot Chart Detail,0021900100,341,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,3,10,52,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,4,1,1,20191105,CHI,LAL
99,Shot Chart Detail,0021900100,372,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,3,7,44,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,46,1,1,20191105,CHI,LAL
100,Shot Chart Detail,0021900100,418,203484,Kentavious Caldwell-Pope,1610612747,Los Angeles Lakers,3,5,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,13,1,0,20191105,CHI,LAL
101,Shot Chart Detail,0021900025,415,1627936,Alex Caruso,1610612747,Los Angeles Lakers,3,5,40,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,21,1,1,20191025,LAL,UTA
102,Shot Chart Detail,0021900025,472,1627936,Alex Caruso,1610612747,Los Angeles Lakers,3,2,4,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-13,87,1,0,20191025,LAL,UTA
103,Shot Chart Detail,0021900025,662,1627936,Alex Caruso,1610612747,Los Angeles Lakers,4,0,33,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,6,1,0,20191025,LAL,UTA
104,Shot Chart Detail,0021900040,453,1627936,Alex Caruso,1610612747,Los Angeles Lakers,3,5,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,76,272,1,1,20191027,LAL,CHA
105,Shot Chart Detail,0021900040,501,1627936,Alex Caruso,1610612747,Los Angeles Lakers,3,2,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,82,267,1,0,20191027,LAL,CHA
106,Shot Chart Detail,0021900040,541,1627936,Alex Caruso,1610612747,Los Angeles Lakers,4,11,17,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,13,1,1,20191027,LAL,CHA
